LSOA11CD,lat,lon
W01000164,53.279997,-3.651086
W01000223,53.293087,-3.458290
W01000255,53.170292,-2.979282
W01000283,53.213872,-3.045583 
W01000500,52.668886,-3.137323 
W01000918,51.730890,-3.747500 
W01001321,51.665103,-3.312764 
W01001460,51.769907,-3.198707 
W01001604,51.580729,-3.033853 
W01001875,51.492230,-3.138293 
W01000231,53.319658,-3.474384 
W01000240,53.320431,-3.489805 
W01001953,51.529163,-3.202547
W01001935,52.409085,-4.062956
W01000092,53.22713, -4.13884
W01000296,53.28855, -3.21177
W01000771,51.61249, -4.03926
W01000808,51.67534, -3.92764
W01000971,51.70759, -3.86875
W01001229,51.61446, -3.40709
W01001248,51.62081, -3.45613
W01001291,51.75204, -3.41899
W01001561,51.825497,-3.098772
W01001562,51.80830, -3.12356
W01001564,51.81204, -3.02980